country_or_region,date,variable,generation_twh
Romania,01-01-15,Bioenergy,0.05
Romania,01-01-15,Clean,3.61
Romania,01-01-15,Coal,1.81
Romania,01-01-15,Fossil,2.71
Romania,01-01-15,Gas,0.9
Romania,01-01-15,Hydro,1.77
Romania,01-01-15,Nuclear,1.05
Romania,01-01-15,Solar,0.04
Romania,01-01-15,Wind,0.7
Romania,01-01-15,Wind and solar,0.74
Romania,01-02-15,Bioenergy,0.05
Romania,01-02-15,Clean,3.44
Romania,01-02-15,Coal,1.46
Romania,01-02-15,Fossil,2.15
Romania,01-02-15,Gas,0.69
Romania,01-02-15,Hydro,1.66
Romania,01-02-15,Nuclear,0.95
Romania,01-02-15,Solar,0.06
Romania,01-02-15,Wind,0.72
Romania,01-02-15,Wind and solar,0.78
Romania,01-03-15,Bioenergy,0.05
Romania,01-03-15,Clean,3.81
Romania,01-03-15,Coal,1.39
Romania,01-03-15,Fossil,2.08
Romania,01-03-15,Gas,0.69
Romania,01-03-15,Hydro,1.95
Romania,01-03-15,Nuclear,1.01
Romania,01-03-15,Solar,0.1
Romania,01-03-15,Wind,0.7
Romania,01-03-15,Wind and solar,0.8
Romania,01-04-15,Bioenergy,0.04
Romania,01-04-15,Clean,3.7
Romania,01-04-15,Coal,1.35
Romania,01-04-15,Fossil,1.73
Romania,01-04-15,Gas,0.38
Romania,01-04-15,Hydro,1.8
Romania,01-04-15,Nuclear,0.98
Romania,01-04-15,Solar,0.13
Romania,01-04-15,Wind,0.75
Romania,01-04-15,Wind and solar,0.88
Romania,01-05-15,Bioenergy,0.05
Romania,01-05-15,Clean,3.15
Romania,01-05-15,Coal,1.19
Romania,01-05-15,Fossil,1.52
Romania,01-05-15,Gas,0.33
Romania,01-05-15,Hydro,1.91
Romania,01-05-15,Nuclear,0.65
Romania,01-05-15,Solar,0.14
Romania,01-05-15,Wind,0.4
Romania,01-05-15,Wind and solar,0.54
Romania,01-06-15,Bioenergy,0.04
Romania,01-06-15,Clean,2.95
Romania,01-06-15,Coal,1.14
Romania,01-06-15,Fossil,1.63
Romania,01-06-15,Gas,0.49
Romania,01-06-15,Hydro,1.4
Romania,01-06-15,Nuclear,0.93
Romania,01-06-15,Solar,0.15
Romania,01-06-15,Wind,0.43
Romania,01-06-15,Wind and solar,0.58
Romania,01-07-15,Bioenergy,0.04
Romania,01-07-15,Clean,2.62
Romania,01-07-15,Coal,1.75
Romania,01-07-15,Fossil,2.7
Romania,01-07-15,Gas,0.95
Romania,01-07-15,Hydro,1.12
Romania,01-07-15,Nuclear,1.01
Romania,01-07-15,Solar,0.16
Romania,01-07-15,Wind,0.29
Romania,01-07-15,Wind and solar,0.45
Romania,01-08-15,Bioenergy,0.05
Romania,01-08-15,Clean,2.67
Romania,01-08-15,Coal,1.7
Romania,01-08-15,Fossil,2.63
Romania,01-08-15,Gas,0.93
Romania,01-08-15,Hydro,0.99
Romania,01-08-15,Nuclear,1.01
Romania,01-08-15,Solar,0.15
Romania,01-08-15,Wind,0.47
Romania,01-08-15,Wind and solar,0.62
Romania,01-09-15,Bioenergy,0.04
Romania,01-09-15,Clean,2.61
Romania,01-09-15,Coal,1.62
Romania,01-09-15,Fossil,2.45
Romania,01-09-15,Gas,0.83
